frame.time_epoch	frame.protocols	frame.len	ip.src	ip.dst	tcp.srcport	tcp.dstport	tcp.port	tcp.len	tcp.seq	tcp.ack	tcp.flags.ack	tcp.flags.syn
1596425442.831189579	eth:ethertype:ip:tcp:ssh	142	192.168.0.158	192.168.0.1	22	35658	22	76	2025	2581	1	0
1596425442.871637312	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	2581	2101	1	0
1596425443.231239242	eth:ethertype:ip:tcp:ssh	158	192.168.0.158	192.168.0.1	22	35658	22	92	2101	2581	1	0
1596425443.231518836	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	2581	2193	1	0
1596425443.276836826	eth:ethertype:ip:tcp:ssh	302	192.168.0.158	192.168.0.1	22	35658	22	236	2193	2581	1	0
1596425443.277103438	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	2581	2429	1	0
1596425443.295356256	eth:ethertype:ip:tcp:ssh	142	192.168.0.1	192.168.0.158	35658	22	35658	76	2581	2429	1	0
1596425443.339040807	eth:ethertype:ip:tcp	66	192.168.0.158	192.168.0.1	22	35658	22	0	2429	2657	1	0
1596425443.340869177	eth:ethertype:ip:tcp:ssh	430	192.168.0.1	192.168.0.158	35658	22	35658	364	2657	2429	1	0
1596425443.340882088	eth:ethertype:ip:tcp	66	192.168.0.158	192.168.0.1	22	35658	22	0	2429	3021	1	0
1596425443.341643356	eth:ethertype:ip:tcp:ssh	142	192.168.0.158	192.168.0.1	22	35658	22	76	2429	3021	1	0
1596425443.383605488	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	3021	2505	1	0
1596425443.743006921	eth:ethertype:ip:tcp:ssh	158	192.168.0.158	192.168.0.1	22	35658	22	92	2505	3021	1	0
1596425443.743284382	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	3021	2597	1	0
1596425443.788233340	eth:ethertype:ip:tcp:ssh	302	192.168.0.158	192.168.0.1	22	35658	22	236	2597	3021	1	0
1596425443.788507943	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	3021	2833	1	0
1596425443.808604451	eth:ethertype:ip:tcp:ssh	142	192.168.0.1	192.168.0.158	35658	22	35658	76	3021	2833	1	0
1596425443.851038258	eth:ethertype:ip:tcp	66	192.168.0.158	192.168.0.1	22	35658	22	0	2833	3097	1	0
1596425443.852346717	eth:ethertype:ip:tcp:ssh	430	192.168.0.1	192.168.0.158	35658	22	35658	364	3097	2833	1	0
1596425443.852355714	eth:ethertype:ip:tcp	66	192.168.0.158	192.168.0.1	22	35658	22	0	2833	3461	1	0
