frame.time_epoch	frame.protocols	frame.len	ip.src	ip.dst	tcp.srcport	tcp.dstport	tcp.port	tcp.len	tcp.seq	tcp.ack	tcp.flags.ack	tcp.flags.syn
1596421498.079839424	eth:ethertype:ip:tcp:ssh	142	192.168.0.1	192.168.0.158	35658	22	35658	76	1913	2037	1	0
1596421498.123060558	eth:ethertype:ip:tcp	66	192.168.0.158	192.168.0.1	22	35658	22	0	2037	1989	1	0
1596421498.125603067	eth:ethertype:ip:tcp:ssh	422	192.168.0.1	192.168.0.158	35658	22	35658	356	1989	2037	1	0
1596421498.125622861	eth:ethertype:ip:tcp	66	192.168.0.158	192.168.0.1	22	35658	22	0	2037	2345	1	0
1596421498.126456218	eth:ethertype:ip:tcp:ssh	142	192.168.0.158	192.168.0.1	22	35658	22	76	2037	2345	1	0
1596421498.167614730	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	2345	2113	1	0
1596421498.175075429	eth:ethertype:ip:tcp	74	192.168.0.158	199.232.64.133	38012	443	38012	0	0	0	0	1
1596421498.527187742	eth:ethertype:ip:tcp:ssh	158	192.168.0.158	192.168.0.1	22	35658	22	92	2113	2345	1	0
1596421498.527523883	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	2345	2205	1	0
1596421498.572283640	eth:ethertype:ip:tcp:ssh	302	192.168.0.158	192.168.0.1	22	35658	22	236	2205	2345	1	0
1596421498.572565657	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	2345	2441	1	0
1596421498.590846349	eth:ethertype:ip:tcp:ssh	142	192.168.0.1	192.168.0.158	35658	22	35658	76	2345	2441	1	0
1596421498.631071619	eth:ethertype:ip:tcp	66	192.168.0.158	192.168.0.1	22	35658	22	0	2441	2421	1	0
1596421498.639669412	eth:ethertype:ip:tcp:ssh	422	192.168.0.1	192.168.0.158	35658	22	35658	356	2421	2441	1	0
1596421498.639688872	eth:ethertype:ip:tcp	66	192.168.0.158	192.168.0.1	22	35658	22	0	2441	2777	1	0
